downgrades #stocks #investing #tradeideas	$PCAR	-0.463	downgrade
looking sexy morning DD break volume gone	$AMZN	0.678	looking sexy morning break volume
@gerberkawasaki stock moved much since first weeks split still long term fan Emark	$SBUX	0.377	still long term fan Emark
whole foods may feel price competition way go price wise compete kroger	$KR	0.129	way go price wise compete kroger
apple's iphone se could better expected via @forbes @localytics @fiksu	$AAPL	0.395	iphone se could better expected
NN stocks making new NN week highs big number	$TJX	0.458	NN stocks making new NN week highs
there's reason can't get back DD within next NN years	$GOOGL	0.288	there's reason can't get back DD
nice names watch tomorrow long DD short DD potential r/g short DD #stocks	$CVEO	-0.453	short
pivotal sees RR upside alphabet	$YHOO	0.372	pivotal sees RR upside alphabet
good morning Emark here's trending among #investors morning	$DWTI	0.216	trending
patents turn signal detector autonomous cars	$GOOGL	0.241	patents turn signal detector autonomous cars
sftw investor long term stock recommendation costco wholesale corp ss NN	$COST	0.557	investor long term stock recommendation
breaking NN week highs timing looks great	$IRDM	0.419	breaking NN week highs timing looks great
amazing NN market cap makes less profit sales watch NN valuation apple watch business Qmark	$FB	-0.641	makes less profit sales watch
stocks i'm watching buy targets NN NN NN	$CSX	0.344	i'm watching buy targets
google's decision sell robot business exposes growing pains @shiraovide via @bfly	$GOOGL	-0.289	decision sell robot business exposes growing pains
higher expected much lower hmmm	$MSFT	0.43	higher expected
facebook suddenly realizing snr problem newsfeeds took ya long enough #facebook	$FB	-0.147	suddenly realizing
qualcomm RR dividend increase rewards patient investors future looks bright	$QCOM	0.484	RR dividend increase rewards patient investors future looks bright
nice day rally Emark	$SLB	0.529	nice day rally Emark
looking sales curious drop among #oversold	$CLDX	0.406	#oversold
today's losers	$ENDP	-0.317	today's losers
look #amazon & #bezos done quietly #echo #alexa become next major platform	$AMZN	0.374	next major platform
added NN	$REGN	0.589	added NN
apple need new tablet needs new tablet strategy	$AAPL	-0.195	needs new tablet strategy
#fastmoneyespresso final trades pete najarian — sell brian kelly — sell karen finerman — buy guy adami — buy	$RHT	-0.591	sell
@sharkbiotech anyone selling/shorting b/c believe rumors realistic i'll take side trade	$AGN	0.422	i'll take side trade
@craigfalwell #tomsosnoff getting	$TSLA	-0.374	getting
#fastmoneyespresso final trades pete najarian — sell brian kelly — sell karen finerman — buy guy adami — buy	$WYNN	0.489	buy
costco less stellar day held NN day moving average	$COST	-0.14	less stellar day held NN day moving average
NN weeks harvoni vedroprevir cures RR hard treat #hepatitis c #livermeeting #liverNN	$GILD	0.534	cures RR hard treat
today bought	$ZNGA	0.087	today bought
unusual call activity	$XOP	0.332	unusual call activity
marriott #cuba tremendous opportunity awaits	$MAR	0.456	tremendous opportunity awaits
bullish day trade setup open close RR RR wins avg NN RR	$NFLX	0.422	bullish day trade setup
new #iphone chapter Qmark • demand ahead model • strongest growth still china • supply chain revisions bottomed –morgan stanley	$AAPL	0.532	demand ahead strongest growth
reasons caution chinese stocks	$BABA	-0.317	reasons caution chinese stocks
doomed NN chart	$FB	-0.027	doomed NN chart
@fitbit outperforms cnbc column highlights google data provides favorable citron quote	$FIT	0.525	outperforms
@wallstreet_rant @florentcapital NN/ inst ownership RR actually egregious anyways higher	$FDX	0.293	higher
short per @jcspeNN	$TSLA	-0.603	short
@apple's peachy prospects #iphone maker worth DD share	$AAPL	0.339	peachy prospects
buy NN stocks there's blood streets	$NXPI	0.415	buy NN stocks there's blood streets
top #netpayoutyields march	$MSI	0.426	top #netpayoutyields
dow worst performers chevron NN NN nike NN NN best performers ibm NN NN apple NN NN #stocks #investing	$NKE	-0.244	worst performers
worst #sentiment #spNN #stocks market close RR/NN #stocktrading #predictiveanalytics #bigdata	$ISRG	-0.479	worst #sentiment #spNN #stocks market close
yahoo stock DD bidding war picks company	$YHOO	0.391	bidding war picks company
long	$AAPL	0.648	long
#fastmoneyespresso final trades pete najarian — sell brian kelly — sell karen finerman — buy guy adami — buy	$WFM	0.474	buy
still weak gaining	$FB	-0.373	still weak
long	$SAVE	0.388	long
commented parkervision aggressive buy NN	$QCOM	0.306	aggressive buy
branch medicine producing top rated stocks days Qmark found one	$DHR	0.428	top rated
impressive numbers oracle pops earnings; adobe poised follow via @thestreet #commerce #saas	$ORCL	0.443	impressive numbers
closed buy NN NN lots NN NN NN NN pips total today NN NN pips visit trades	$NFLX	0.466	closed buy
i've picking railroad stocks retirement acct NNRR last NN months	$CSX	0.441	i've picking railroad stocks retirement acct
ah bottom losses NN RR NN RR NN RR NN RR NN RR NN RR NN RR NN RR	$DAL	-0.575	bottom losses
watch NN getting ready sell premiumm	$PCLN	-0.441	getting ready sell premiumm
jim cramer cisco synata deal game changer via thestreet	$CSCO	0.304	cisco synata deal game changer
sounds bullish	$TSLA	0.23	sounds bullish
fck bird Emark soaring buy first backtest broken resistance overbought #tradeideas #stocks	$TWTR	-0.085	fck bird Emark
rally friday Emark #newNNweekhighs big small RR fine weekend Emark	$ULTK	0.66	rally friday Emark #newNNweekhighs p RR
